,City,Cloudiness,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
229,babanusah,20,1581539577.0,63.0,60.82,-115.8,-7.6,9.17
230,babanusah,95,1581539577.0,90.0,-16.36,-46.91,72.97,2.55
231,babanusah,62,1581539578.0,87.0,13.08,109.3,75.7,2.19
232,babanusah,64,1581539578.0,93.0,-3.8,102.27,74.52,3.18
233,babanusah,75,1581539578.0,100.0,4.41,114.01,75.2,11.88
234,babanusah,3,1581539578.0,55.0,46.43,26.4,36.0,4.7
235,babanusah,100,1581539578.0,91.0,50.57,123.72,5.18,3.11
236,babanusah,100,1581539579.0,70.0,65.75,150.85,-20.61,1.74
237,babanusah,0,1581539579.0,86.0,9.97,98.63,76.21,4.18
238,babanusah,40,1581539579.0,81.0,17.49,44.13,53.6,9.17
239,babanusah,12,1581539579.0,75.0,11.67,92.75,79.45,17.38
240,babanusah,100,1581539579.0,86.0,48.65,-53.11,28.99,13.0
241,babanusah,5,1581539580.0,50.0,18.22,42.51,53.6,11.41
242,babanusah,65,1581539580.0,96.0,50.36,108.75,-9.36,1.57
243,babanusah,33,1581539580.0,85.0,32.77,22.64,61.57,21.68
244,babanusah,40,1581539581.0,82.0,28.66,-17.92,68.0,11.41
245,babanusah,75,1581539582.0,100.0,42.78,-9.06,59.0,9.17
246,babanusah,100,1581539582.0,8.0,12.73,-3.87,78.13,9.15
247,babanusah,5,1581539582.0,52.0,22.89,-109.91,73.99,11.41
248,babanusah,40,1581539582.0,69.0,63.73,8.83,37.4,26.4
249,babanusah,0,,,,,,
250,babanusah,100,1581539583.0,87.0,33.73,135.98,63.9,31.68
251,babanusah,99,1581539583.0,93.0,-24.71,-47.56,70.11,3.42
252,babanusah,5,1581539583.0,52.0,50.23,-99.47,-11.2,14.99
253,babanusah,90,1581539583.0,86.0,59.7,30.79,34.0,8.95
254,babanusah,0,,,,,,
255,babanusah,40,1581539584.0,70.0,-17.73,-149.15,86.0,8.05
256,babanusah,0,,,,,,
257,babanusah,100,1581539584.0,100.0,-28.87,153.57,71.6,9.17
258,babanusah,0,1581539368.0,47.0,26.56,31.69,55.4,4.7
259,babanusah,5,1581539585.0,74.0,69.45,-133.04,-27.4,3.36
260,babanusah,1,1581539390.0,74.0,71.29,-156.79,-23.8,5.82
261,babanusah,75,1581539585.0,68.0,50.03,-66.87,28.4,16.11
262,babanusah,0,1581539588.0,35.0,24.88,74.63,58.64,2.42
263,babanusah,15,1581539589.0,86.0,-15.2,12.15,74.34,16.53
264,babanusah,0,1581539589.0,21.0,20.52,-13.05,77.02,11.45
265,babanusah,94,1581539589.0,62.0,40.28,97.2,25.74,17.76
266,babanusah,40,1581539385.0,60.0,-29.03,-51.18,75.99,9.17
267,babanusah,90,1581539589.0,80.0,57.05,-135.33,39.2,24.16
268,babanusah,92,1581539590.0,63.0,64.89,-23.71,24.85,14.9
269,babanusah,74,1581539590.0,43.0,-26.5,17.16,74.52,9.4
270,babanusah,90,1581539590.0,100.0,36.19,-94.13,42.01,4.34
271,babanusah,0,,,,,,
272,babanusah,5,1581539295.0,63.0,46.62,10.7,39.2,0.96
273,babanusah,34,1581539594.0,80.0,-22.43,-151.33,80.51,17.16
274,babanusah,90,1581539594.0,94.0,-30.38,153.1,71.6,3.36
275,babanusah,70,1581539594.0,77.0,-0.6,73.08,82.87,9.13
276,babanusah,75,1581539465.0,68.0,50.2,-66.38,28.4,16.11
277,babanusah,0,1581539595.0,96.0,63.28,118.33,-25.33,4.59
278,babanusah,32,1581539595.0,94.0,11.39,122.69,72.55,5.3
